prompt,completion
"pm me or email me at boycottkosher@aol.com once i get enough money together ill be getting a car and ill be able to get to milwaukee quite easily .

###

", 0
"I have an amazing ability! I find objects just before people lose them. The police, however, call it theft.

###

", 0
"The ghetto thuged out version of tree of life coming soon...

###

", 0
"What's long, black, and makes high school girls scream when guys pull it out? An AR-15.

###

", 1
"Whilst many German women are sexually assaulted in Berlin on NYE by Muslim migrants the German establishment is far more concerned about prosecuting those MPs who tell the truth about the attacks

###

", 1
"r/thebluepill upvotes a post about a woman who's starting to hate men.

###

", 0
"Enjoyed ""Wild,"" digging the female-centered story, wish we made more nuanced, deep stories like it with nonwhite casts.

###

", 0
"When ldaring becomes normal u know u have fcked up

###

", 0
"Netflix censored Bill Nye episode to remove segment about biological basis for gender • r/videos

###

", 0
"What is that in the background, a giant lawn chair?

###

", 0
"Ever notice the way the mechanisations of the state , always side with their anti-fascist NWO goffers ?

###

", 0
"Why can’t Stevie wonder drive? Because he’s black

###

", 1
"What do you call a Muslim emperor? Napoleon Blownaparte

###

", 1
"I mean, think about it! A mask is just a fake face, you know? And that means you're not being honest with yourself about who you truly are!

###

", 0
"Good to see Wigan having faith in their kids. Unlike KC who would rather populate the team with average journeymen. #SLLeeWig

###

", 0
"Feminist compares Cologne mass rape to white men raping her with their eyes • /r/european

###

", 1
"Whats a word that begins with N ends in R and you should never call a black person? Neighbor

###

", 1
"How many Trumps does it take to change a lightbulb? None, he tricks the media into doing it for him.

###

", 0
"another coon giving out about Ireland and as if her opinion counts being second generation London jamican only means her mother was a filthy immigrant who waited till she got off the banana boat to give birth to her litter

###

", 1
"How to know if you are certified subhuman
When you pose with a bunch of Stacies and Chad friends for a photo and the picture comes up with them with their one neanderthal pet, you know it's over.

###

", 0
"Thinking or concluding that a particular length and breadth is what determines her pleasure is VERY WRONG. #IntimateThursday

###

", 0
"rhyme roses are red , violets are n't magenta , if you have a baby , i 'll eat the placenta

###

", 0
"I like my women like i lile my whiskey 12 years old and brown.

###

", 1
"buying pussy or smoking weed could get you more jail time than being a traitor to your countrymen apparently

###

", 0
"the prophet mohammed and his wife walk into a pub and the barman says , "" sorry , mo , kids have to stay outside in the garden . ""

###

", 1
"If the government is shut down and I don't notice any difference, I should be able to get a full refund on the money they've taken that I'm apparently getting nothing in exchange for.

###

", 0
"They gotta lock EVERY fucking lock. They got a metal door that squeaks when it closes, and a bell that dings when the front door is opened &#128580;

###

", 0
"I can't fucking even omg #Wrestlemania #WrestleMania #HardyBoyz #DELETE

###

", 1
"cooking is an important skill . cook for an african man , and he will be hungry for a day less . cook an african man , and all the nearby african men will be hungry for a day less . -- some tribe leader

###

", 1
"RT @GirlTalk26: ""Real men ask for nudes""
Correction. Pussy ass bitches ask for nudes. Real men are out there working for women &amp; actually h&#8230;

###

", 0
"Dad, moms cheating you Her pussy tastes like the neighbors dick

###

", 1
"what 's the worst thing about being told you have alzheimer 's ? it dosen't happen at once

###

", 0
"I have no friends and no one to talk to
Should I get chik fila, subways or pizza for lunch



I got tendies

###

", 0
"I wish I knew more people that killed themselves. Meaning, I wish more people I knew killed themselves.

###

", 1
"They keep eating my lunch Let's see if they can swallow a 12 gauge

###

", 1
"A simple way to hide a Corpse A simple way to hide a Corpse is to put it in your children's food.

###

", 1
"Lockheed Martin will complete a fusion reactor in the next ten years and all oil dependent states, like Saudi, will sink.

###

", 0
"@raider_level them hoes ain't thick at all u clowning

###

", 1
"What did the nigger get on his SAT's? Watermelon Juice -Kevin Barnett

###

", 1
"can't sleep? take two nyquils. bad mood? take two nyquils. boyfriend pissing you off? two nyquils and an advil bored? meth

###

", 0
"What's the worst part about having sex with some one with downs syndrome? You're fucking retarded.

###

", 1
"Gangs of Black thieves rob... assault....terrorize ....and destroy.....AMERICA.....NEVER GIVE UP YOUR GUNS.....OR YOU ARE NEXT!

###

", 1
"How not to be a virgin according to this neurotypical /r/AskNormies specimen

###

", 0
"Ever since I became a cop I have to deal with rape victims on a daily basis. 
 
Apparently women trust you much more when you wear a police uniform.

###

", 1
"What do you call an old lady being raped by a dog? Old Yeller

###

", 1
"A female on r/foreveralone turns out to be an actual creep and thought about stalking Chad.

###

", 0
"RT @Ayyee_Vonte: Why do people have A Problem with Gay People? Know what, fuck it... I Got A Problem with you Straight hoes! Now what?

###

", 1
