raw_txt,actual_class,pred_Bert,pred_GPT-3 Zero Shot,pred_GPT-3 FineTuned
1 horrible cunt that Ross Barkley. 2 bad tackles and 1 shocking tackle. How the fuck is he still on the pitch!!,True,True,True,True
"Parents:

If YOU do not teach your children the rich, vibrant, and yes, sometimes controversial, history of your own locale, your region, your State, and your Country, they will be taught the Leftist version...sterilized, false, misleading, twisted, and full of intentional Social Justice overtones",True,False,False,False
"The kikes probably put the Leftist up to it , to make it seem like they do n't have total control of everyone .",True,True,True,True
"""Just when you think the Swans are dead and buried... you here the Takers """"Gong""""! #GameOn #AFLSwansPies""",False,False,False,False
It is people like James O'Keefe and Project Veritas that put themselves in the line of fire of the enemies of freedom that provide us examples of what can be done.,False,True,False,False
R&amp;B SUPER PRODUCER SONG WRITER &amp; ENGINEER #DONTMISSYOBEAT!™ #OUTTHEBOXSTUDIOS 708-600-4475 #BOOKNOW @DONTMISSYOBEAT @BIGgrits100 #Chicago,False,False,False,False
what 's the difference hitler and <number> million jews ? hitler actually made it down in history .,True,True,True,True
Why does a drunk and average looking guy who is broke have more social skill and meets women than an incel with stable job?,False,False,False,False
Why did the feminist jump off the building? She was trying to equalize the suicide rates,True,True,False,True
"Don't pick that up, you're a girl.  Let one of the boys do that.",True,True,True,True
RT @OfficialA1King: The face you make when you see a hoe trying to preach on twitter http://t.co/2T1UkUDQBw,False,True,False,True
"There comes a moment when we must act , regardless of the consequences .",False,False,False,False
"Isn’t it ironic how Jews are the only people who meet Santa? Then again, they’re the only ones in the chimney.",True,True,True,True
In my opinion if you still waiting in line for a pair of Js your priorities are all fucked up,False,False,False,False
Sometimes I think I enjoy gay sex... But that's just the French in me,True,True,False,True
"RT @buckupside: What kind of world do we live in, where bitches are getting surgery to make their butts BIGGER!? Since when do women want a&#8230;",True,True,False,True
What's a Jew's favorite book? Gone with the wind.,True,False,False,True
what s the difference between a black person and a colorful explosion in the sky ? fire works,True,False,False,True
Waiting to get released from the emergency room ran test nothing show up but they know something wrong need go see a specialist,False,False,False,False
"Women are like wine: I can only afford the really cheap ones that have the big, ugly boxes that leak.",True,False,False,True
Instagram = vain. Snapchat = needy. Twitter = gossip. Facebook = dinosaur. Your most used determines u. Yep sounds about right!,False,False,False,False
"I'm 31 turning 32
The women my age have hit the wall but I'd still cream inside them if they gave me the chance.",True,True,False,True
Normie linking us to SadCringe couldn't take the heat and deletes his own account.,False,False,False,False
What’s black and spends most it’s life in jail? A black person,True,True,True,True
"Recent medical studies shows that obesity can cause lots of problems in pregnant women.  I think there’s nothing to worry about it. If a woman is obese, she won’t be pregnant in the first place.",True,True,False,True
"Or if you're ""mombot"" on Twitter:

Ignore your children, ignore your job, and just go post more stuff on Twitter.",True,True,False,False
"I got a handjob from a blind girl, my friend asked me how was it I replied “Ah blind girls—you have to hand it to them”",True,True,False,True
On god I ain't never wanna plex with lil bro them at all I ain't scared to squabble nobody I just refuse to fight a nigga I had love 4 &#128175;,False,True,False,False
The Boers will be free in their Volkstaat by then and they can show us how their ancestors carved a civilization outta nothing,False,True,False,False
Why are black people so hard to find in a snow storm? Because no one's looking for them.,True,True,False,True
"Any time a man tells you to make him a sandwich, imagine it as ""MAKE ME SANDWICH.  ME AM MAN. ME BEAT CHEST.""",True,False,False,False
what do you call a jew that jumps out of a plane a falling star,True,True,False,True
people say never let go of one you love. that's what I tell the girl chained in my basement.,True,True,False,True
you hear jason aldeens new killer hit ? ‘ what happens in vegas stays in vegas’ off his new album ‘ making history’,False,False,False,False
how do you prevent black people from stealing your stuff ? hide it at the bottom of the pool,True,True,True,True
Why are the hands of black people white? From picking up all the cotton,True,True,False,True
"Hack by ur dope ass girlfriend. I love you more than anything, I'm so lucky to call you mine handsome.&#128536;#mymcmeveryday",False,True,False,False
"Like no, I'm not a mom, but that doesn't mean I'm a fucking idiot who doesn't know anything about children. Fuck outta here.",True,True,True,True
"Removing harassing subreddits
we arnt getting axed yet,  but it looks like we may get some sights  on us",False,False,False,False
Why don’t the Jews eat Pussy? ‘Because it’s too close to the gas chamber’,True,True,True,True
"Breaking News:

France takes nuclear threat onboard and surrenders to North Korea.",True,True,False,False
How many Jews does it take to have fun? 6 million and a furnace.,True,True,True,True
I don't get how a married woman/man can cheat of their husband/wife. Confused with this generation &#129300;&#129318;&#127995;‍♀️,False,True,False,False
"I feel that since political correctness is such a massive topic it's good to bring it up. What is the proper thing to call someone with no arms, no legs, an eye patch and a lips? Names.",True,False,False,True
What's the worst part about being black and Jewish? You have to count all the money you steal/you have to sit in the back of the oven,True,True,True,True
when corey haim was young . <repeat> . <repeat> is ass was so shiny that you could see a sheen on it .,True,False,False,True
The way Jews work together with such cunning would be admirable if their works where not to such disgusting evil ends .,True,True,True,True
"I hope that I see the world as you did 'cause I know, A life with love is a life that's been lived &#127926;",False,False,False,False
remember when muslims massacred americans and george w. bush responded by bringing in more muslims,True,True,False,True
What’s the only good thing the North Americans have ever done? Form NAMBLA,True,True,True,True
Gangs of Black thieves rob... assault....terrorize ....and destroy.....AMERICA.....NEVER GIVE UP YOUR GUNS.....OR YOU ARE NEXT!,True,True,True,True
"He proves that Will Rogers was right:
“An empty wagon rattles the most.”",False,False,False,False
What do you call an immersion blender with a straw? An abortion kit for difficult cases.,True,False,False,True
"I do n't know how true this is , but I 've heard to pick number two for french because they speak better english than picking one for english and getting who knows what pretending to speak English",True,True,False,False
"I hate to have our weaknesses With a living, but the idiot world from itself.",False,True,True,False
The worst thing about the present immigration is that it 's spread all over the country .,True,True,False,True
"What's black and blue, and doesn't like sex? The kid in my trunk.",True,False,False,True
"Beautiful, I 'm so glad it went well .",False,False,False,False
"Oh well, you lil stupid ass bitch I don't fuck with Youuuuuu RT @HoldMyPurseGirl: Idfwu is a bitter ass song and only fuck niggas like it.",True,True,True,True
It sure is weird how I only ever see mean things being attached to the gamergate hashtag.,False,False,True,False
"My brother told me that he wanted to kill himself I told him that if he really wanted to he wouldn't talk about it.

That shut him up.",True,True,False,False
"Has proven very difficult to nail the slimy bastard Obama. Thats why the are blocking Sessions. Trump will get it done, and justice done",True,True,False,True
LA traffic to cause riots during 2 day construction shutdown of 405 fwy .,False,False,False,False
Dealing with someone who expects you to not have feelings or emotions or even express yourself.... Definitely can ruin some shit,False,True,False,False
Non-Profit just means I wont make any money while I get rich...,False,True,False,False
The worst thing about parallel parking are the witnesses.,False,False,False,True
All the lads do at work is play FIFA the boring cunts,True,True,False,True
the 2nd AC on this set literally slaps the sticks on the slate so damn hard every time we're about to go in i think i'm going deaf,False,False,False,False
What's the pinnacle of sadism? Going to Venezuela and feeding bread to the ducks,False,False,False,True
What do you call an old lady being raped by a dog? Old Yeller,True,True,False,True
"still fucking fumin we drew against Bourneshite, cant wait to get molested at Britannia tmrw",False,False,True,False
Those men were obviously so brave and fierce that they instill fear in their commie enemies even when they are dead .,False,True,False,True
If a nigga phone broke best believe he only gon memorize his main bitch number or the bitch that's cash in him out number &#128175;&#128527;,False,True,False,False
If I had a dime for every racist joke I told... Some black guy would probably rob me,True,True,False,True
when you attend @khloekardashian jean launch at the grove and don't make it on @KUWTK https://t.co/ca9Bc4xImM,False,False,False,False
Look at her she came back even lighter from Europe!,False,True,False,True
The stupid thing about SJW BLM feminazis etc is that all sane humans value these same things on a healthy level.. but they blow it up 10000% and it makes everyone who isn't psychotic and schizophrenic look like bigots because we don't have rainbow hair and protest naked covered in baby blood,True,True,False,True
@Tee_Bizzle shut up bitch,True,True,True,True
omg. y'all. ace boog1e really thought he could make that jump with his stick in his mouth. the look of shame afterw… https://t.co/sqCAcXsep0,False,False,False,False
Your parental rights as a father are not assumed.,False,False,False,False
"I'm in fact more ambitious than the Nazis, because I plan on physically removing somewhere around 100 million ""people"".",True,False,True,True
"my african friend asked me if he could ask for bob and vegene i told him ""u better ask for food""",True,True,False,True
Parliament recommended to look at laws on issuing of birth certificates so it is easy to verify the real ages of girls in child marriages,False,False,False,False
"i honestly dont know what my eye color is ... they look green , but at times grey or dark blue .. sucks i cant determine my actual eye color .",False,False,False,False
i hope the government shuts down and this time for like a month or something,False,True,False,False
What is the difference between Michael Jackson and a grocery bag? One is made of plastic and is dangerous for children to play with. The other is used to carry groceries,True,False,False,True
I think I read a comment like that on a video on YouTube and it made me chuckle .,False,False,False,False
TIL that an admission of guilt weighing heavier than accusations in the Cosby rape case is evidence of rape culture,False,True,True,False
.@Buckm00se really does talk like a buck nigger,True,True,True,True
What do you call a bIack man trying to hold in a laugh? A sniggerer,True,True,False,True
"You know shits fucked when
...99% of females aren't even virgins by the time they can legally marry

JUST FUCK MY UNIVERSE UP",True,True,False,False
Now I'm getting fucking sick omg like I wanna fucking cry,False,True,False,False
Love how politics has something to do with it. Progressive and liberal are synonymous with non-discriminatory? [...] You are a fantastic non discriminatory person.,False,True,False,False
"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",True,True,True,True
[Meta] remove autochaderator It's annoying and pointless.,False,False,False,False
porn is like a cancer ward way better when you see kids in it,True,True,False,True
I'm worried that Naomi is going to get ruined by these idiots #SouthernCharm,True,True,False,False
