step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,50,2,2.9144288778345797,0.0,0.0,1.393312637337949,0.0,0.0
2,180,4,1.1015202828456676,0.0,0.0,,,
3,262,6,1.719420716280818,0.0,0.0,,,
4,344,8,1.6457790419312368,0.0,0.0,,,
5,442,10,1.3643998124185537,0.0,0.0,,,
6,556,12,1.0772495882239206,0.0,0.0,,,
7,654,14,1.1727703174656774,0.0,0.0,,,
8,768,16,0.8419126900287589,0.0,0.08333333333333333,,,
9,898,18,0.7754372419377251,0.0,0.08333333333333333,0.7964006326092515,0.0,0.16666666666666666
10,996,20,0.8704341312464626,0.0,0.08333333333333333,,,
11,1110,22,0.7219797796981376,0.0,0.16666666666666666,,,
12,1240,24,0.5046626687454773,0.0,0.16666666666666666,,,
13,1322,26,0.70855397990247,0.0,0.3333333333333333,,,
14,1420,28,0.4549589419837381,0.0,0.3333333333333333,,,
15,1566,30,0.24712499395962773,0.0,0.5,,,
16,1632,32,0.5271563389629591,0.0,0.4166666666666667,,,
17,1714,34,0.33223265612591063,0.0,0.5833333333333334,0.14968579181722208,0.0,0.75
18,1796,36,0.3165041617670795,0.0,0.5,,,
19,1878,38,0.14578380485874368,0.0,0.75,,,
20,1944,40,0.11616952461907203,1.0,1.0,,,
21,2026,42,0.1696480516780903,0.5,0.8333333333333334,,,
22,2108,44,0.06265346312170596,0.5,0.9166666666666666,,,
23,2222,46,0.09267135779571943,0.0,0.75,,,
24,2304,48,0.045066379319214776,0.5,0.9166666666666666,,,
25,2402,50,0.053770545973883276,0.5,0.9166666666666666,0.06427421066799005,0.5,0.9166666666666666
26,2468,52,0.08354159799651185,0.5,0.9166666666666666,,,
27,2598,54,0.04230931536999975,0.5,0.9166666666666666,,,
28,2680,56,0.04072016740323124,1.0,1.0,,,
29,2730,58,0.05973415759006304,0.5,0.9166666666666666,,,
30,2940,60,0.018107534737365108,0.5,0.9166666666666666,,,
31,3006,62,0.05543093390022705,0.5,0.9166666666666666,,,
32,3104,64,0.11904395158407018,0.0,0.8333333333333334,,,
33,3218,66,0.10293535202591426,0.0,0.8333333333333334,0.06809328734688462,0.0,0.8333333333333334
34,3316,68,0.04020597502055353,0.5,0.9166666666666666,,,
35,3382,70,0.06012832995448662,0.5,0.9166666666666666,,,
36,3464,72,0.06139964424050413,0.0,0.8333333333333334,,,
37,3546,74,0.036239579046930884,1.0,1.0,,,
38,3612,76,0.04531625976054784,1.0,1.0,,,
39,3662,78,0.08494877576020371,0.5,0.9166666666666666,,,
40,3824,80,0.03147922560583538,0.5,0.9166666666666666,,,
41,3970,82,0.02742496935298631,1.0,1.0,0.0430069326497202,0.5,0.9166666666666666
42,4084,84,0.13227071358538003,0.0,0.75,,,
43,4246,86,0.11222382961562108,0.0,0.75,,,
44,4312,88,0.05080909374818475,0.5,0.9166666666666666,,,
45,4378,90,0.035572400222818025,1.0,1.0,,,
