step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,33,1,0.5901960171786141,0.0,0.0,1.025722009936726,0.0,0.0,,,,,,
2,66,2,0.5202228240063413,0.0,0.0,,,,,,,,,
3,91,3,0.6196472350081119,0.0,0.0,,,,,,,,,
4,148,4,0.22965931284494995,0.0,0.0,,,,,,,,,
5,165,5,0.292385928472504,0.0,0.0,,,,,,,,,
6,198,6,0.10344315459544305,1.0,1.0,,,,,,,,,
7,239,7,0.053281485541723676,1.0,1.0,,,,,,,,,
8,328,8,0.04597838960968974,1.0,1.0,,,,,,,,,
9,361,9,0.1722739475092385,0.0,0.0,0.21421734821051358,0.0,0.0,,,,,,
10,386,10,0.13356498441038034,0.0,0.0,,,,,,,,,
11,419,11,0.05597453286056407,1.0,1.0,,,,,,,,,
12,444,12,0.06168951846659183,1.0,1.0,,,,,,,,,
13,469,13,0.20320280174414318,0.0,0.0,,,,,,,,,
14,494,14,0.054354527952770404,1.0,1.0,,,,,,,,,
15,543,15,0.0931581832965215,0.0,0.0,,,,,,,,,
16,592,16,0.06782395079111059,0.0,0.0,,,,,,,,,
17,633,17,0.049616444354411204,1.0,1.0,0.056297570116817956,1.0,1.0,,,,,,
18,650,18,0.16499031053856014,0.0,0.0,,,,,,,,,
19,683,19,0.06312709346151678,1.0,1.0,,,,,,,,,
20,724,20,0.09708106093853713,0.0,0.0,,,,,,,,,
21,749,21,0.06920787982642651,1.0,1.0,,,,,,,,,
22,766,22,0.0902515671402216,1.0,1.0,,,,,,,,,
23,783,23,0.07170628566294909,1.0,1.0,,,,,,,,,
24,808,24,0.10000321500003337,0.0,0.0,,,,,,,,,
25,849,25,0.0493839245736599,1.0,1.0,0.05359363920676211,1.0,1.0,,,,,,
26,890,26,0.09321464347839355,0.0,0.0,,,,,,,,,
27,915,27,0.08506083665415644,0.0,0.0,,,,,,,,,
28,948,28,0.06255421056295746,0.0,0.0,,,,,,,,,
29,1013,29,0.04229181251837873,1.0,1.0,,,,,,,,,
30,1078,30,0.06313927273964509,0.0,0.0,,,,,,,,,
31,1111,31,0.14445707679260522,0.0,0.0,,,,,,,,,
32,1152,32,0.052301488304510715,1.0,1.0,,,,,,,,,
33,1185,33,0.04655239221639931,1.0,1.0,0.06503846414387227,1.0,1.0,,,,,,
34,1218,34,0.10211348398122935,0.0,0.0,,,,,,,,,
35,1251,35,0.07131821512244642,0.0,0.0,,,,,,,,,
36,1276,36,0.05131807656570648,1.0,1.0,,,,,,,,,
37,1325,37,0.06774240648257546,0.0,0.0,,,,,,,,,
38,1358,38,0.06546838360372931,0.0,0.0,,,,,,,,,
39,1399,39,0.0557086088624783,1.0,1.0,,,,,,,,,
40,1432,40,0.06968297727406025,0.0,0.0,,,,,,,,,
41,1465,41,0.06793574101291597,0.0,0.0,0.059988230287563046,1.0,1.0,,,,,,
42,1490,42,0.10558773718929539,0.0,0.0,,,,,,,,,
43,1531,43,0.049794381488114596,1.0,1.0,,,,,,,,,
44,1572,44,0.06643781335838139,1.0,1.0,,,,,,,,,
45,1597,45,0.04787360662885476,1.0,1.0,,,,,,,,,
46,1638,46,0.051721221704035994,1.0,1.0,,,,,,,,,
47,1679,47,0.07593517933553084,0.0,0.0,,,,,,,,,
48,1704,48,0.04609897900993626,1.0,1.0,,,,,,,,,
49,1737,49,0.037898641012434384,1.0,1.0,0.035181414966937156,1.0,1.0,,,,,,
50,1770,50,0.11785357240820304,0.0,0.0,,,,,,,,,
51,1803,51,0.10682121952238958,0.0,0.0,,,,,,,,,
52,1884,52,0.03346778154792264,1.0,1.0,,,,,,,,,
53,1925,53,0.06838052373984829,0.0,0.0,,,,,,,,,
54,1966,54,0.05195166057813914,0.0,0.0,,,,,,,,,
55,2007,55,0.0503953059767373,1.0,1.0,,,,,,,,,
56,2040,56,0.08472052584169433,0.0,0.0,,,,,,,,,
57,2065,57,0.11788736731202032,0.0,0.0,0.03386672668071697,1.0,1.0,,,,,,
58,2090,58,0.09641294167551678,0.0,0.0,,,,,,,,,
59,2147,59,0.05369991185950181,0.0,0.0,,,,,,,,,
60,2180,60,0.05551996416877955,1.0,1.0,,,,,,,,,
61,2213,61,0.051889228032086974,1.0,1.0,,,,,,,,,
62,2254,62,0.05305590541940183,0.0,0.0,,,,,,,,,
63,2295,63,0.06705347636993975,0.0,0.0,,,,,,,,,
