step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,82,2,0.7051081566584181,0.0,0.0,0.2922070653650331,0.0,0.0,,,,,,
2,164,4,0.6350169067499083,0.0,0.0,,,,,,,,,
3,230,6,0.7375231950298167,0.0,0.0,,,,,,,,,
4,296,8,0.5514509966720652,0.0,0.0,,,,,,,,,
5,346,10,0.6876860557975791,0.0,0.0,,,,,,,,,
6,428,12,0.2699803042866406,0.0,0.0,,,,,,,,,
7,478,14,0.38380312015874857,0.0,0.0,,,,,,,,,
8,576,16,0.07876882127425537,0.0,0.0,,,,,,,,,
9,658,18,0.16702531617612112,0.0,0.0,0.06751657256585077,0.0,0.0,,,,,,
10,740,20,0.07501414104328433,0.5,0.5,,,,,,,,,
11,838,22,0.08024472712170488,0.0,0.0,,,,,,,,,
12,936,24,0.03283833918265979,1.0,1.0,,,,,,,,,
13,1034,26,0.052011166038525215,1.0,1.0,,,,,,,,,
14,1132,28,0.04654913881252772,0.5,0.5,,,,,,,,,
15,1214,30,0.043621444316115233,1.0,1.0,,,,,,,,,
16,1312,32,0.051766615064213206,0.5,0.5,,,,,,,,,
17,1362,34,0.04766635360584284,1.0,1.0,0.05412842643636395,0.5,0.5,,,,,,
18,1412,36,0.11062015777997052,0.0,0.0,,,,,,,,,
19,1478,38,0.054481700099422596,0.5,0.5,,,,,,,,,
20,1544,40,0.05154315486860468,1.0,1.0,,,,,,,,,
21,1626,42,0.06312900566426105,0.0,0.0,,,,,,,,,
22,1740,44,0.03451943497805457,0.5,0.5,,,,,,,,,
23,1854,46,0.05929661192332528,0.5,0.5,,,,,,,,,
24,1920,48,0.08567055232968415,0.0,0.0,,,,,,,,,
25,1970,50,0.05223407982150093,1.0,1.0,0.0314401495361235,1.0,1.0,,,,,,
26,2036,52,0.036792303720721974,1.0,1.0,,,,,,,,,
27,2182,54,0.03401978330583208,0.5,0.5,,,,,,,,,
28,2248,56,0.07280328652763274,0.5,0.5,,,,,,,,,
29,2330,58,0.05475879213213921,0.5,0.5,,,,,,,,,
30,2444,60,0.053909844648816416,0.0,0.0,,,,,,,,,
31,2494,62,0.05755105995883544,0.5,0.5,,,,,,,,,
32,2624,64,0.04096515188830381,0.0,0.0,,,,,,,,,
33,2770,66,0.03591730579701511,0.0,0.0,0.04291564819868655,0.5,0.5,,,,,,
34,2852,68,0.04575488864234649,1.0,1.0,,,,,,,,,
35,2934,70,0.048333292631898075,0.5,0.5,,,,,,,,,
36,3112,72,0.026054508222917903,1.0,1.0,,,,,,,,,
37,3178,74,0.06280063799174967,0.5,0.5,,,,,,,,,
38,3324,76,0.02414327835812906,1.0,1.0,,,,,,,,,
39,3406,78,0.03220923605770804,1.0,1.0,,,,,,,,,
40,3472,80,0.05306952857848955,0.5,0.5,,,,,,,,,
41,3570,82,0.03840155366585047,0.5,0.5,0.060763664025192454,0.0,0.0,,,,,,
42,3636,84,0.07481727104226592,0.0,0.0,,,,,,,,,
43,3734,86,0.04571288120680644,0.5,0.5,,,,,,,,,
44,3816,88,0.04397209800500423,0.5,0.5,,,,,,,,,
45,3866,90,0.061127952098225545,0.5,0.5,,,,,,,,,
46,3948,92,0.04626142971322406,0.5,0.5,,,,,,,,,
47,4030,94,0.04623016313955304,0.5,0.5,,,,,,,,,
48,4112,96,0.052675887613935636,0.0,0.0,,,,,,,,,
49,4162,98,0.03320390112969713,1.0,1.0,0.06698810666450299,0.0,0.0,,,,,,
50,4244,100,0.057627575123973665,0.0,0.0,,,,,,,,,
51,4310,102,0.06297099194870498,0.0,0.0,,,,,,,,,
52,4408,104,0.03886859416622125,0.5,0.5,,,,,,,,,
53,4474,106,0.05067246071324917,0.5,0.5,,,,,,,,,
54,4540,108,0.044077928632614206,1.0,1.0,,,,,,,,,
55,4590,110,0.04368648541615888,1.0,1.0,,,,,,,,,
56,4672,112,0.04227576464472804,0.5,0.5,,,,,,,,,
57,5122,114,0.011700041969098882,0.5,0.5,0.023501067372336468,1.0,1.0,,,,,,
58,5284,116,0.021819350418285467,1.0,1.0,,,,,,,,,
59,5398,118,0.030409368404819233,0.5,0.5,,,,,,,,,
60,5688,120,0.02124435898889917,0.5,0.5,,,,,,,,,
61,5754,122,0.08506704191906467,0.0,0.0,,,,,,,,,
62,5820,124,0.06570454590313603,0.5,0.5,,,,,,,,,
63,5902,126,0.0595811161470192,0.0,0.0,,,,,,,,,
64,6000,128,0.0353000167029677,0.5,0.5,,,,,,,,,
65,6162,130,0.02595456715358887,0.5,0.5,0.0380100436099123,0.0,0.0,,,,,,
66,6212,132,0.058581051817939926,0.5,0.5,,,,,,,,,
67,6278,134,0.04809013300589868,0.5,0.5,,,,,,,,,
68,6328,136,0.06279771758282246,0.0,0.0,,,,,,,,,
